stop_id,stop_code,stop_name,stop_lat,stop_lon,Routes,Direction,Accessibility,Type
9620,9620,Ellesmere Rd at West Service Rd,43.766455,-79.278682,395 | 95,Westbound,2,Bus
6375,6375,The Esplanade at Lower Jarvis St East Side,43.648249,-79.370453,121,Eastbound,1,Bus
2435,2435,Evans Ave at Brown's Line,43.610792,-79.549007,123 | 15 | 315,Northbound,2,Bus
11202,11202,Farnboro Rd at Attwell Dr East Side,43.691554,-79.58687,927,Southbound,1,Bus
9909,9909,Finch Ave East at Neilson Rd West Side,43.816209,-79.228536,334,Eastbound,1,Bus
9912,9912,Finch Ave East at Yonge St East Side,43.779842,-79.414782,336 | 339 | 39,Eastbound,1,Bus
4750,4750,Airport Rd at Beverley St,43.707577,-79.647762,52,Eastbound,2,Bus
4752,4752,Airport Rd at Bresler Dr West Side,43.685989,-79.609114,52,Westbound,2,Bus
4753,4753,Airport Rd at Bresler Dr,43.686085,-79.606403,52,Westbound,2,Bus
4768,4768,Airport Rd at Victory Cres,43.707589,-79.647215,52,Westbound,2,Bus
6222,6222,Albion Rd at Elmhurst Dr,43.725042,-79.550293,118 | 73,Northbound,1,Bus
13427,13427,Albion Rd at Humberline Dr,43.746942,-79.621692,73,Northbound,1,Bus
6228,6228,Albion Rd at Islington Ave,43.737291,-79.565054,73,Northbound,2,Bus
3300,3300,Attwell Dr at Belfield Rd North Side,43.698444,-79.593272,45,Northbound,1,Bus
3297,3297,Attwell Dr at Disco Rd,43.701039,-79.594894,45,Northbound,1,Bus
3299,3299,Attwell Dr at Marmac Dr South Side,43.695237,-79.589518,927,Southbound,1,Bus
9304,9304,Attwell Dr at McLachlan Dr,43.693656,-79.588761,927,Southbound,1,Bus
14093,14093,Aukland Rd at Dundas St West,43.638954,-79.539233,300,Eastbound,2,Bus
11238,11238,Avenue Rd at Old Orchard Grove,43.731855,-79.419461,61,Northbound,1,Bus
13478,13478,3174 Bathurst St,43.721937,-79.430488,400,Westbound,1,Bus
134,134,Bathurst St at Elm Ridge Dr,43.705395,-79.426541,307 | 7,Southbound,1,Bus
143,143,Bathurst St at Glencairn Ave,43.71225,-79.427979,307 | 7,Northbound,1,Bus
204,204,Bathurst St at St Clair Ave West,43.683275,-79.418455,307 | 7,Southbound,1,Bus
9719,9719,Bathurst St at Steeles Ave West,43.792055,-79.445475,160,Northbound,1,Bus
11641,11641,Baycrest Home For Aged,43.729774,-79.434176,400,Eastbound,2,Bus
11640,11640,Wagman Centre,43.729171,-79.439941,400,Eastbound,2,Bus
9122,9122,Bayview Ave at Valleyanna Dr,43.724229,-79.379437,11 | 124 | 352,Northbound,1,Bus
